GRB	Redshift
161014A	2.823 (GTC: absorption)|2.823 (VLT: absorption)
160804A	0.736 (VLT: absorption & emission)
160703A	The detection in all UVOT filters is consistent with a redshift of z < ~1.5
160624A	0.483 (Gemini-North: emission, possible host)
160425A	0.555 (VLT: emission)
160410A	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)
160327A	4.99 (GTC: absorption, probably redshift)
160314A	0.726 (VLT: emission from host)
160227A	2.38 (NOT: absorption)
160203A	3.52 (VLT: absorption)
160131A	0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)
160121A	1.960 (GTC: absorption)
160117B	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)
151215A	2.59 (NOT: absorption)
151112A	4.1 (MPG: photometric)
151111A	3.5 (MPG: photometric)
151031A	1.167 (VLT: absorption)
151029A	1.423 (VLT: absorption)
151027B	4.063 (VLT: absorption)
151027A	0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	2.330 (VLT: absorption)
150915A	1.968 (VLT: absorption)
150910A	1.359 (Lick: absorption)|1.360 (GTC: absorption)
150821A	0.755 (VLT: absorption)
150818A	0.282 (GTC: emission from possible host)
150727A	0.313 (VLT: emission)
150424A	<3 (GTC)
150423A	1.394 (VLT: absorption, tentative)
150413A	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	2.06 (VLT: absorption)
150323A	0.593 (Keck I: absorption and emission)
150314A	1.758 (GTC: absorption)
150301B	1.5169 (VLT: absorption)
150206A	2.087 (VLT: absorption)
150120A	0.460 (Gemini-North: emission, possible host)
150101B	0.093 (GTC: emission from host)
141225A	0.915 (GTC: absorption)
141221A	1.452 (Keck II: absorption, tentative)
141220A	1.3195 (GTC: absorption)
141212A	0.596 (Gemini-North: emission from likely host)
141121A	1.47 (Keck I: absorption)
141109A	2.993 (VLT: absorption)
141026A	3.35 (GTC: absorption, possible redshift)
141004A	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	1.21 (GTC)
140903A	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	0.558 (Gemini-North: emission, host)
140703A	3.14 (GTC: absorption)
140629A	2.275 (BTA: absorption)|2.29 (TNG: absorption)
140622A	~0.959 (VLT: emission from host)
140614A	4.233 (VLT: absorption)
140518A	4.707 (Gemini-North: absorption)
140515A	6.32 (Gemini-North: absorption)
140512A	0.725 (NOT: absorption)
140506A	0.889 (VLT: absorption, host)
140430A	1.60 (VLT: absorption)
140428A	~4.7 (Keck I: estimate)
140423A	3.26 (Gemini-North: absorption)
140419A	3.956 (Gemini-North: absorption)
140318A	1.02 (WHT: emission)
140311A	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	1.416 (VLT: absorption)
